serialno,weight,cut,color,clarity,mine,price,depth,table,x,y,z
AA642302,1.58,Very Good,I,VS1,NORTH,10112,61.8,57,7.5,7.56,4.64
AA742191,0.34,Very Good,E,VS2,WEST,745,62.6,58,4.43,4.45,2.78
AA803823,0.9,Premium,G,SI1,EAST,3669,62.6,62,6.08,6.06,3.8
AA482804,0.77,Very Good,I,VS1,EAST,2501,62.6,55,5.85,5.9,3.68
AA838539,0.71,Premium,E,SI2,EAST,2306,61.4,59,5.74,5.7,3.51
AA662754,1.01,Premium,G,SI1,SOUTH,4672,59.6,61,6.52,6.47,3.87
AA442071,0.53,Very Good,D,SI1,EAST,1724,60,59.8,5.25,5.26,3.15
AA625026,2.03,Premium,E,SI1,NORTH,16629,62.9,57,8.04,7.98,5.04
AA475804,1.08,Ideal,E,VVS2,NORTH,10313,61.8,56,6.55,6.59,4.06
AA44757,0.58,Ideal,F,VS1,EAST,1979,61.2,57,5.36,5.39,3.29
AA391022,1.1,Premium,H,SI2,EAST,4558,62.6,57,6.6,6.56,4.12
AA354608,0.38,Premium,F,VVS1,EAST,1257,61.6,58,4.66,4.63,2.86
AA893610,1.51,Premium,H,VS2,SOUTH,8630,58.7,61,7.51,7.45,4.39
AA183188,0.51,Ideal,G,VS1,EAST,1595,61.3,55.7,5.15,5.18,3.16
AA320693,0.3,Premium,G,VVS1,EAST,1013,60.7,59,4.37,4.33,2.64
AA969602,0.32,Very Good,D,VVS2,EAST,804,61.1,59,4.39,4.42,2.69
AA326893,0.58,Very Good,H,SI1,WEST,1219,61.8,56,5.34,5.38,3.31
AA198970,2.31,Very Good,I,SI1,NORTH,16801,62.5,55,8.43,8.5,5.29
AA390403,0.36,Ideal,F,VS2,WEST,629,61.5,55,4.57,4.6,2.82
AA690719,1.2,Very Good,I,SI1,SOUTH,5476,62.6,57,6.74,6.77,4.23
AA294282,1.01,Very Good,F,SI2,SOUTH,4298,61.8,56,6.43,6.38,3.96
AA39478,0.56,Ideal,H,VVS2,EAST,1745,62.1,57,5.26,5.3,3.27
AA907941,0.35,Good,F,VS2,WEST,596,57.9,60,4.65,4.68,2.7
AA455444,0.23,Very Good,F,VVS2,EAST,600,58.1,63,4.08,4.04,2.36
AA149984,0.52,Ideal,E,VS2,EAST,1689,61.2,56,5.16,5.23,3.18
AA873834,1.02,Ideal,G,VS1,NORTH,7055,61.4,57,6.45,6.49,3.98
AA898229,0.73,Ideal,G,VVS1,SOUTH,3667,61.3,56,5.79,5.82,3.56
AA302996,0.3,Very Good,F,VVS1,EAST,814,62.6,56,4.27,4.29,2.68
AA84973,0.51,Ideal,G,SI1,EAST,1237,61.7,54,5.14,5.2,3.19
AA234824,0.51,Very Good,G,VS2,EAST,1397,61.2,55,5.13,5.16,3.15
AA425863,0.42,Premium,H,VS2,EAST,992,62.1,57,4.8,4.76,2.97
AA682531,0.54,Ideal,F,VS2,EAST,1662,60.3,55,5.26,5.32,3.19
AA362726,0.34,Premium,G,VS2,WEST,596,62,59,4.43,4.47,2.76
AA867319,1.42,Premium,E,SI1,NORTH,9447,61.1,62,7.2,7.17,4.39
AA35567,0.31,Premium,E,SI1,WEST,698,59.1,59,4.44,4.42,2.62
AA781563,1.1,Ideal,H,SI1,SOUTH,5583,62.7,57,6.6,6.63,4.15
AA731277,0.39,Very Good,G,SI2,WEST,597,63.2,57,4.65,4.57,2.92
AA385623,0.5,Good,D,SI1,WEST,1235,57.2,60,5.25,5.2,2.99
AA876622,0.43,Very Good,F,VS1,EAST,1056,62.2,61,4.75,4.83,2.98
AA180054,1.5,Very Good,D,VS2,NORTH,13372,63,59,7.24,7.3,4.58
AA824605,0.32,Good,H,SI1,WEST,449,63.1,54,4.36,4.42,2.77
AA394049,1.04,Premium,G,VS2,NORTH,6709,61.8,58,6.51,6.46,4.01
AA704418,0.3,Ideal,E,VVS1,EAST,895,61.2,57,4.33,4.36,2.66
AA353438,0.57,Ideal,J,VS2,WEST,1113,62.5,54,5.32,5.34,3.33
AA932200,1.04,Very Good,D,SI1,SOUTH,5605,61.5,58,6.48,6.53,4
AA26978,1.01,Premium,H,SI2,EAST,3959,62.8,61,6.33,6.25,3.95
AA612308,0.33,Ideal,G,VS2,EAST,743,61.2,55,4.52,4.46,2.75
AA964890,0.6,Ideal,E,VS2,EAST,1897,61.8,56,5.41,5.46,3.36
AA707425,1.51,Very Good,H,SI1,NORTH,9218,61.7,61,7.3,7.35,4.52
AA456221,0.3,Premium,E,SI1,WEST,675,61.3,60,4.31,4.27,2.63
AA459492,1.39,Ideal,J,VS2,SOUTH,6366,60.3,57,7.26,7.24,4.37
AA660597,1,Very Good,E,SI2,EAST,4004,58.8,62,6.5,6.53,3.83
AA995897,1,Premium,F,VS1,NORTH,7056,62.7,55,6.39,6.34,3.99
AA136577,1.01,Very Good,F,SI2,SOUTH,4270,63.4,54,6.42,6.39,4.06
AA931239,0.34,Very Good,H,VS2,WEST,521,60,58,4.52,4.56,2.72
AA513428,0.24,Ideal,I,VVS2,WEST,523,61.5,56,4.02,4.05,2.48
AA986688,1.06,Ideal,G,VS2,NORTH,6548,61.1,57,6.56,6.59,4.02
AA131536,0.31,Very Good,G,VVS1,EAST,778,58.8,59,4.44,4.47,2.62
AA340189,0.5,Premium,G,SI2,WEST,1078,58.6,61,5.21,5.16,3.04
AA134991,0.41,Ideal,G,VS2,WEST,827,59.8,57,4.81,4.85,2.89
AA109942,0.34,Ideal,I,SI1,WEST,459,61.9,57,4.49,4.52,2.79
AA62598,0.53,Premium,D,VS2,EAST,1825,59.9,58,5.29,5.26,3.16
AA928069,0.5,Very Good,D,VS2,EAST,1703,59.1,59,5.19,5.24,3.08
AA366686,0.81,Ideal,E,SI2,EAST,2938,60.2,57,6.1,6.06,3.66
AA576443,1.35,Ideal,H,SI1,NORTH,7609,61.5,58,7.08,7.11,4.36
AA870374,0.41,Ideal,G,VS1,EAST,961,61.4,55,4.8,4.78,2.94
AA517605,1.51,Very Good,I,SI2,SOUTH,7139,62.9,58,7.24,7.3,4.57
AA920784,0.75,Very Good,D,SI2,EAST,2618,63.6,58,5.71,5.76,3.65
AA555251,0.51,Ideal,H,VS1,EAST,1438,62.7,54,5.12,5.15,3.22
AA788760,0.41,Very Good,D,SI1,EAST,920,63.1,57,4.73,4.68,2.97
AA74524,0.31,Good,D,SI1,WEST,571,63.5,56,4.29,4.31,2.73
AA531246,1.03,Premium,H,VS2,SOUTH,5364,60.9,58,6.55,6.48,3.97
AA748134,1.01,Premium,E,SI1,SOUTH,5656,59.2,60,6.56,6.51,3.87
AA501963,0.3,Ideal,E,SI1,WEST,499,62.3,57,4.29,4.31,2.68
AA138948,0.57,Ideal,E,VS1,EAST,1884,61.6,55,5.32,5.36,3.29
AA109231,0.42,Ideal,F,VS1,EAST,1103,61.4,57,4.83,4.78,2.95
AA19793,0.6,Very Good,F,SI1,EAST,1670,60.3,59,5.42,5.5,3.29
AA147660,0.37,Ideal,E,VS1,EAST,921,63.3,54,4.59,4.63,2.91
AA435449,0.35,Premium,H,VVS1,EAST,798,61.2,60,4.51,4.54,2.77
AA961924,0.97,Premium,D,SI2,EAST,3585,60.4,61,6.4,6.37,3.86
AA572948,1,Fair,J,SI2,EAST,3199,56.3,64,6.58,6.54,3.69
AA499747,0.4,Premium,H,VS1,EAST,1021,61.3,59,4.79,4.74,2.92
AA38149,0.91,Ideal,F,SI2,SOUTH,3812,62.2,56,6.14,6.17,3.83
AA165510,0.9,Very Good,E,SI1,SOUTH,4092,63.1,60,6.18,6.14,3.89
AA21643,1.27,Premium,G,VS2,NORTH,8705,61,60,6.97,6.93,4.24
AA945196,0.31,Premium,I,SI1,WEST,408,61.5,59,4.35,4.37,2.68
AA356066,0.9,Very Good,I,VS2,SOUTH,4089,61.4,58,6.22,6.25,3.83
AA246561,1.71,Premium,G,VS1,NORTH,17041,62.3,58,7.61,7.65,4.75
AA807005,0.9,Good,D,SI1,EAST,4068,63.2,62,6.06,6.13,3.85
AA539086,0.72,Ideal,D,VS2,SOUTH,3179,60.8,56,5.8,5.84,3.54
AA270182,1.13,Premium,G,VS1,NORTH,7404,58.6,59,6.91,6.84,4.03
AA935554,1.05,Premium,F,VS2,NORTH,7244,62.3,59,6.5,6.46,4.04
AA205806,0.6,Ideal,H,VVS1,SOUTH,2568,61,56,5.44,5.47,3.33
AA539318,0.34,Ideal,D,SI1,EAST,803,60.1,57,4.56,4.52,2.73
AA56829,1.29,Premium,J,VS1,EAST,5463,61.7,59,6.93,6.97,4.29
AA40504,0.91,Ideal,F,SI2,SOUTH,4642,61.7,56,6.21,6.24,3.84
AA324323,0.56,Ideal,E,VS2,EAST,1915,62.6,57,5.29,5.26,3.3
AA513369,0.33,Ideal,G,VS1,EAST,666,60.1,55,4.5,4.55,2.72
AA623003,0.31,Premium,E,SI1,EAST,651,61.2,58,4.38,4.34,2.67
AA717568,1.7,Ideal,D,SI1,NORTH,12190,60,54,7.76,7.71,4.64
AA116281,0.4,Premium,E,SI1,EAST,945,60.1,59,4.82,4.76,2.88
AA489093,1.16,Premium,H,SI1,SOUTH,5554,61.2,58,6.81,6.76,4.15
AA353408,0.54,Premium,J,VS2,WEST,1143,62.6,58,5.22,5.16,3.25
AA466061,0.38,Ideal,J,VVS2,WEST,629,61.4,56,4.68,4.7,2.88
AA706843,0.4,Ideal,J,VVS1,EAST,1136,61.9,56,4.74,4.79,2.95
AA600766,2.17,Very Good,I,SI1,NORTH,15760,62.1,61,8.24,8.27,5.13
AA759075,0.5,Very Good,E,VVS2,SOUTH,2168,59.3,56,5.25,5.3,3.13
AA887304,1.52,Ideal,H,VS2,NORTH,11333,61.8,55.1,7.38,7.42,4.58
AA244506,1.56,Good,H,SI1,SOUTH,7862,63.7,57,7.34,7.25,4.65
AA175216,0.8,Ideal,E,VS1,SOUTH,4086,62.1,56,5.92,5.97,3.69
AA869355,0.34,Premium,I,VVS1,EAST,803,61.9,58,4.52,4.43,2.77
AA200369,0.34,Ideal,F,VVS2,EAST,1003,61,56,4.54,4.57,2.78
AA215463,0.62,Ideal,J,VS1,WEST,1297,62.3,54,5.46,5.49,3.41
AA532551,0.91,Premium,D,SI1,SOUTH,4476,62.8,59,6.21,6.17,3.89
AA687458,0.54,Ideal,H,VS2,EAST,1338,60.1,57,5.28,5.33,3.19
AA790827,0.7,Premium,D,SI2,EAST,2596,60.4,60,5.79,5.74,3.48
AA33781,2.07,Very Good,I,SI1,NORTH,15847,62.3,60,8.12,8.16,5.07
AA666661,0.51,Ideal,H,VS2,EAST,1397,62.9,57,5.07,5.1,3.2
AA700187,0.34,Good,H,SI1,WEST,490,63.7,57,4.44,4.45,2.83
AA160212,0.32,Ideal,F,VS2,WEST,645,62.4,57,4.34,4.38,2.72
AA502401,0.91,Very Good,D,SI1,SOUTH,4253,59.3,58,6.33,6.38,3.77
AA269152,0.49,Premium,H,VS2,WEST,965,59.6,62,5.17,5.14,3.07
AA953746,0.53,Ideal,E,VVS2,EAST,2250,62.5,57,5.12,5.18,3.22
AA144845,1.01,Good,F,SI1,SOUTH,4989,57.8,58,6.65,6.6,3.83
AA881284,1.21,Ideal,I,VVS2,NORTH,7938,61.3,56,6.83,6.87,4.2
AA752148,1.02,Good,D,VS2,NORTH,7539,63.2,58,6.36,6.4,4.03
AA627919,1.7,Premium,H,VVS2,NORTH,10337,61.4,58,7.66,7.62,4.69
AA895587,1.08,Very Good,I,SI1,SOUTH,4933,62.2,57,6.57,6.54,4.08
AA895400,1.01,Premium,F,VS2,NORTH,6533,59.3,62,6.48,6.44,3.83
AA274352,0.42,Very Good,G,SI1,EAST,916,61.7,55,4.78,4.81,2.96
AA584629,0.41,Ideal,G,VVS1,EAST,1230,62,56,4.8,4.78,2.97
AA158125,0.58,Good,F,VVS2,EAST,2494,62.2,61,5.37,5.44,3.36
AA996057,0.52,Ideal,H,VS2,EAST,1385,62,57,5.12,5.08,3.16
AA714331,1.06,Ideal,I,VS2,SOUTH,4530,62.3,56,6.56,6.51,4.07
AA865440,0.5,Ideal,H,SI1,EAST,1178,62,56,5.09,5.12,3.16
AA62467,0.9,Very Good,F,SI2,EAST,3519,61.1,54,6.27,6.29,3.84
AA492715,1.5,Good,G,SI2,SOUTH,6552,63.6,58,7.19,7.09,4.54
AA1799,1.63,Ideal,G,VS1,NORTH,15697,61.7,55,7.56,7.6,4.68
AA955923,0.6,Ideal,E,SI1,EAST,1890,61.3,56,5.49,5.44,3.35
AA757323,0.3,Premium,H,SI1,WEST,540,60.8,61,4.3,4.25,2.6
AA214008,1.52,Ideal,G,SI1,NORTH,9530,60.7,57,7.38,7.41,4.49
AA405140,0.5,Very Good,D,VS1,EAST,1847,62.3,57,5.04,5.07,3.15
AA622367,0.9,Ideal,G,SI2,SOUTH,4032,61.5,57,6.19,6.23,3.82
AA451957,1.01,Premium,G,SI2,SOUTH,4355,59.5,55,6.59,6.53,3.9
AA113437,1,Good,I,SI2,EAST,3465,63.9,60,6.26,6.3,4.01
AA661709,2.14,Ideal,J,VS2,NORTH,14802,62,54,8.28,8.31,5.15
AA321245,0.5,Ideal,F,SI1,EAST,1282,59.9,56,5.09,5.36,3.13
AA935036,0.91,Good,F,SI1,SOUTH,4279,63.9,55,6.1,6.17,3.92
AA143071,0.91,Ideal,H,SI1,SOUTH,4096,61.6,56,6.21,6.25,3.84
AA170047,0.51,Ideal,D,IF,NORTH,3446,62.1,55,5.12,5.13,3.19
AA202664,0.51,Good,D,VS2,EAST,1668,63.1,58,5.08,5.13,3.22
AA863604,0.36,Ideal,D,SI2,WEST,537,62,56,4.56,4.6,2.84
AA38064,0.9,Good,H,SI2,EAST,3024,63.1,60,6.09,6.14,3.86
AA232995,0.29,Very Good,G,VS1,WEST,660,58.1,59,4.39,4.42,2.56
AA73727,1.03,Ideal,H,SI1,SOUTH,5418,61.7,57,6.47,6.53,4.01
AA429505,0.3,Premium,G,VVS1,EAST,1013,61.7,58,4.3,4.26,2.64
AA728981,1.71,Very Good,J,VS1,NORTH,9707,61.2,59,7.65,7.72,4.7
AA291070,0.91,Good,H,VS1,SOUTH,4566,57.8,61,6.4,6.36,3.69
AA573131,0.56,Premium,E,SI1,EAST,1755,61.5,60,5.27,5.3,3.25
AA974828,1.3,Ideal,G,IF,NORTH,12932,61.3,56,7.03,7.06,4.32
AA431026,0.31,Ideal,F,VS2,WEST,625,62.4,56,4.31,4.34,2.7
AA7562,2.01,Good,G,SI1,NORTH,18374,60.1,61,8.04,8.12,4.86
AA840814,1.55,Ideal,H,SI2,NORTH,8678,62.1,57,7.39,7.43,4.6
AA596502,0.3,Premium,G,VS1,EAST,776,62.3,59,4.3,4.27,2.67
AA302592,0.9,Ideal,G,SI2,SOUTH,4314,60.7,57,6.19,6.33,3.8
AA502383,0.26,Ideal,F,VS1,EAST,618,62.4,53,4.11,4.13,2.57
AA352046,0.9,Ideal,G,SI1,SOUTH,4001,61.6,57,6.17,6.24,3.82
AA980401,0.3,Ideal,F,VS2,WEST,601,62.1,53.6,4.28,4.31,2.67
AA154199,0.3,Premium,G,VS2,WEST,630,62.6,62,4.25,4.21,2.65
AA231387,0.3,Good,G,VVS2,EAST,684,63.5,54,4.25,4.26,2.7
AA240144,1.57,Premium,J,VS1,SOUTH,8595,61.3,59,7.44,7.47,4.57
AA184055,1,Premium,F,VS2,NORTH,6352,62.4,60,6.35,6.38,3.97
AA521447,0.51,Premium,G,VS1,EAST,1781,62.3,58,5.13,5.08,3.18
AA38415,0.31,Good,G,SI1,WEST,462,63.1,59,4.29,4.33,2.72
AA168378,1.24,Very Good,G,SI2,EAST,4462,63.3,57,6.85,6.79,4.32
AA302246,0.39,Very Good,G,VVS2,EAST,956,63.4,57,4.65,4.62,2.94
AA869814,0.42,Ideal,F,VVS2,EAST,1142,61.6,56,4.83,4.85,2.98
AA391756,0.53,Ideal,F,VS1,EAST,1812,62.2,55,5.17,5.22,3.23
AA34331,0.52,Ideal,D,VS2,EAST,1868,61,57,5.21,5.18,3.17
AA176844,0.32,Ideal,J,IF,WEST,684,62.2,56,4.41,4.37,2.73
AA770673,1.13,Premium,F,IF,NORTH,12722,59.8,60,6.82,6.76,4.06
AA978442,0.3,Ideal,E,VS1,EAST,735,60.6,56,4.35,4.36,2.64
AA589135,0.32,Very Good,F,VVS2,EAST,778,62.5,55,4.39,4.42,2.75
AA711646,0.44,Ideal,E,VS2,EAST,1073,62.4,57,4.9,4.88,3.05
AA966377,2,Good,G,SI2,SOUTH,10416,64.3,60,7.87,7.83,5.05
AA674496,0.7,Premium,G,I1,EAST,1650,61.9,58,5.74,5.69,3.54
AA670161,2.09,Very Good,H,SI2,NORTH,12295,60.1,63,8.21,8.16,4.92
AA979261,0.37,Premium,D,SI1,WEST,874,62.3,56,4.64,4.61,2.88
AA30677,1.39,Very Good,G,VS2,NORTH,10476,62.6,56,7.08,7.11,4.44
AA427304,0.51,Premium,D,SI1,EAST,1687,61.6,58,5.14,5.12,3.16
AA915339,0.34,Ideal,F,VS2,EAST,880,62.1,55,4.51,4.47,2.79
AA757248,0.4,Very Good,I,VVS1,EAST,1080,63.3,57,4.71,4.67,2.97
AA849563,0.3,Ideal,G,IF,EAST,863,61.4,57,4.3,4.33,2.65
AA131620,0.95,Premium,J,I1,EAST,2195,61.7,59,6.32,6.26,3.88
AA546585,0.71,Premium,E,SI1,EAST,2554,60.8,55,5.85,5.8,3.54
AA229924,0.33,Ideal,D,VS2,EAST,1002,62.1,56,4.48,4.44,2.77
AA103174,1.01,Premium,G,SI1,SOUTH,4719,59.8,58,6.54,6.58,3.92
AA640094,1,Premium,F,VS2,NORTH,6640,60.5,59,6.57,6.39,3.92
AA976880,1.18,Premium,G,VVS2,NORTH,9537,59.7,58,6.94,6.9,4.13
AA773244,0.5,Ideal,F,SI1,EAST,1374,60.2,63,5.12,5.15,3.09
AA728071,0.9,Premium,G,I1,WEST,1777,61.3,59,6.2,6.15,3.78
AA531738,1.21,Ideal,J,VS2,SOUTH,5707,62.5,57,6.79,6.74,4.23
AA218352,1.22,Premium,E,VS2,NORTH,9292,62.2,55,6.91,6.85,4.28
AA862417,0.42,Ideal,D,VS2,EAST,1031,61.4,56,4.8,4.84,2.96
AA807523,0.3,Ideal,G,VS2,WEST,545,62.6,58,4.25,4.28,2.67
AA682979,0.29,Ideal,F,VVS2,EAST,715,61.1,58,4.26,4.28,2.61
AA585504,1.55,Ideal,J,VS1,NORTH,8959,59.5,60,7.53,7.56,4.49
AA520178,0.31,Premium,G,VVS1,EAST,1046,61.1,58,4.35,4.32,2.65
AA879265,0.9,Very Good,H,SI2,EAST,3160,62.8,57,6.15,6.2,3.88
AA304287,0.91,Ideal,H,SI2,EAST,3363,60.3,57,6.31,6.27,3.79
AA35283,0.34,Premium,G,SI2,WEST,574,62.8,58,4.46,4.43,2.79
AA950422,0.3,Fair,F,VS2,EAST,776,65.4,55,4.25,4.22,2.77
AA223446,2.06,Premium,I,SI2,NORTH,13912,61,61,8.18,8.1,5.02
AA497880,0.5,Premium,E,VS1,EAST,1698,58.8,62,5.17,5.14,3.03
AA916868,0.79,Premium,H,SI2,EAST,2471,60.4,61,5.99,5.96,3.61
AA824253,0.3,Ideal,I,SI1,WEST,439,60.4,59,4.33,4.35,2.62
AA965935,0.27,Very Good,E,VS2,WEST,470,63,57,4.12,4.16,2.61
AA810406,0.39,Ideal,I,VVS2,WEST,849,60.8,56,4.74,4.76,2.89
AA663862,0.91,Premium,I,VS1,EAST,3620,59.5,62,6.3,6.24,3.73
AA202192,0.51,Good,E,VVS1,EAST,2020,58.6,65,5.32,5.24,3.1
AA505968,0.3,Very Good,H,SI1,WEST,421,63,54,4.27,4.3,2.7
AA464190,1.23,Ideal,I,SI2,SOUTH,5269,62.1,56,6.88,6.84,4.26
AA13554,1,Good,G,VS2,NORTH,5702,63.1,61,6.33,6.38,4.01
AA594526,0.41,Ideal,J,VVS1,WEST,775,62,57,4.73,4.79,2.95
AA953080,0.32,Ideal,F,VVS1,EAST,867,61.5,56,4.41,4.43,2.72
AA822413,1.01,Very Good,I,SI1,EAST,3563,63.1,58,6.38,6.33,4.01
AA650968,0.5,Very Good,F,SI1,WEST,1106,63.2,58,5.08,5.04,3.2
AA19850,0.7,Ideal,E,VVS1,NORTH,5338,61.9,56,5.66,5.69,3.51
AA816083,0.24,Very Good,D,VS2,WEST,373,61.4,60,3.98,4,2.45
AA537318,1.03,Ideal,J,SI1,EAST,4175,61.6,57,6.46,6.49,3.99
AA939412,0.52,Ideal,G,VVS2,EAST,1957,61.6,55,5.14,5.18,3.19
AA891103,1.08,Premium,G,VS1,NORTH,6982,62.7,56,6.55,6.52,4.1
AA659622,0.32,Very Good,H,SI1,WEST,449,61.9,58,4.34,4.38,2.7
AA346290,1.02,Good,I,SI2,EAST,3786,63.6,56,6.37,6.4,4.06
AA926686,1.09,Premium,D,SI1,SOUTH,5799,61.6,58,6.61,6.57,4.06
AA653255,0.3,Very Good,D,SI1,EAST,662,63.4,55,4.26,4.22,2.69
AA423869,1.41,Ideal,J,SI1,SOUTH,6889,62.3,55,7.18,7.21,4.48
AA89454,2.25,Premium,H,SI1,NORTH,17233,61.5,61,8.47,8.41,5.19
AA502199,1.3,Ideal,J,VS1,SOUTH,6334,62.3,57,7.06,6.97,4.37
AA68591,0.5,Very Good,F,SI2,WEST,1094,63.5,58,5.03,4.98,3.18
AA722408,0.42,Very Good,D,SI1,WEST,942,63.3,58,4.75,4.73,3
AA976226,2.27,Premium,J,VS1,NORTH,17149,62.4,58,8.41,8.36,5.23
AA892297,0.72,Ideal,I,VS1,EAST,2430,62.1,55,5.73,5.76,3.56
AA523408,1.07,Good,F,I1,EAST,3415,64.3,59,6.42,6.37,4.11
AA345691,1.02,Very Good,H,VS2,SOUTH,5383,62.4,57,6.43,6.35,3.99
AA678058,0.31,Ideal,E,VS2,WEST,680,61.9,55,4.34,4.39,2.7
AA995102,1.12,Very Good,I,VS1,SOUTH,5036,59.6,58,6.82,6.77,4.05
AA648969,2.13,Ideal,I,SI2,NORTH,15718,62,55,8.25,8.27,5.12
AA156698,1.01,Good,G,VS2,NORTH,5701,63.7,56,6.4,6.32,4.05
AA209027,1.47,Very Good,H,SI1,NORTH,8663,62.9,58,7.18,7.23,4.53
AA939228,1.05,Ideal,G,VS2,NORTH,7070,62.2,54,6.53,6.55,4.07
AA525951,0.33,Premium,G,VVS2,EAST,752,59.5,60,4.52,4.55,2.7
AA568453,1.57,Ideal,H,SI1,NORTH,11068,62.4,56,7.42,7.45,4.64
