Order ID,OrderMonth,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
ZA-2013-AB15146-41370,4,06/04/2013,12/04/2013,Standard Class,AB-15146,Consumer,Mufulira,Copperbelt,Zambia,Eastern Africa,Africa,TEC-MA-5006,Technology,Machines,"Konica Inkjet, Durable",1247.4,4,0,74.76,81.6,Medium
IN-2015-AB10015144-42045,2,10/02/2015,14/02/2015,Standard Class,AB-10015144,Consumer,Da Nang,Dà Nang,Vietnam,Southeastern Asia,Asia Pacific,TEC-CO-5992,Technology,Copiers,"Sharp Copy Machine, Laser",602.38,4,0.37,114.7,61.3,Medium
IN-2014-AB100157-41815,6,25/06/2014,29/06/2014,Standard Class,AB-100157,Consumer,Mackay,Queensland,Australia,Oceania,Asia Pacific,TEC-PH-3793,Technology,Phones,"Cisco Headset, with Caller ID",477.58,6,0.1,169.78,59.77,High
IN-2013-AB1001558-41284,1,10/01/2013,14/01/2013,Standard Class,AB-1001558,Consumer,Kolhapur,Maharashtra,India,Southern Asia,Asia Pacific,TEC-AC-4187,Technology,Accessories,"Enermax Router, Programmable",1039.32,4,0,301.32,59.62,Medium
IN-2014-AB100157-41941,10,29/10/2014,31/10/2014,First Class,AB-100157,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,TEC-PH-3139,Technology,Phones,"Apple Office Telephone, Cordless",367.9,6,0.1,151.18,59.08,Medium
MX-2015-AB1001539-42353,12,15/12/2015,19/12/2015,Standard Class,AB-1001539,Consumer,Apopa,San Salvador,El Salvador,Central America,LATAM,FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",610.6,2,0,238.12,57.833,Medium
UP-2014-AB15137-41866,8,15/08/2014,20/08/2014,Second Class,AB-15137,Consumer,Berdyans'k,Zaporizhzhya,Ukraine,Eastern Europe,Europe,TEC-CO-4569,Technology,Copiers,"Hewlett Copy Machine, High-Speed",2109.36,8,0,527.28,54.79,High
ID-2015-AB1001559-42178,6,23/06/2015,27/06/2015,Second Class,AB-1001559,Consumer,Palembang,Sumatera Selatan,Indonesia,Southeastern Asia,Asia Pacific,FUR-FU-3935,Furniture,Furnishings,"Deflect-O Door Stop, Erganomic",372.91,12,0.27,101.83,53.07,Medium
ES-2014-AB1001545-41864,8,13/08/2014,13/08/2014,Same Day,AB-1001545,Consumer,Lille,Nord-Pas-de-Calais-Picardie,France,Western Europe,Europe,TEC-AC-3385,Technology,Accessories,"Belkin Keyboard, Erganomic",245.07,3,0,14.67,52.79,High
ES-2013-AB10015139-41353,3,20/03/2013,20/03/2013,Same Day,AB-10015139,Consumer,Southend-on-Sea,England,United Kingdom,Northern Europe,Europe,TEC-MA-5018,Technology,Machines,"Konica Receipt Printer, Durable",244.74,2,0,70.92,51.82,High
ID-2013-AB1001527-41439,6,14/06/2013,17/06/2013,First Class,AB-1001527,Consumer,Wuhan,Hubei,China,Eastern Asia,Asia Pacific,FUR-FU-4086,Furniture,Furnishings,"Eldon Photo Frame, Erganomic",141.83,5,0.5,-71.03,51.44,Critical
IN-2014-AB100157-41815,6,25/06/2014,29/06/2014,Standard Class,AB-100157,Consumer,Mackay,Queensland,Australia,Oceania,Asia Pacific,FUR-BO-5940,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",448.58,3,0.1,174.44,49.04,High
MX-2014-AB1001518-41836,7,16/07/2014,18/07/2014,Second Class,AB-1001518,Consumer,Gaspar,Santa Catarina,Brazil,South America,LATAM,OFF-SU-4303,Office Supplies,Supplies,"Fiskars Box Cutter, Easy Grip",247.6,10,0,61.8,47.997,High
ZA-2013-AB15146-41370,4,06/04/2013,12/04/2013,Standard Class,AB-15146,Consumer,Mufulira,Copperbelt,Zambia,Eastern Africa,Africa,TEC-PH-5357,Technology,Phones,"Nokia Speaker Phone, Cordless",504,4,0,216.72,43.49,Medium
MX-2014-AB1001518-41836,7,16/07/2014,18/07/2014,Second Class,AB-1001518,Consumer,Gaspar,Santa Catarina,Brazil,South America,LATAM,TEC-AC-5866,Technology,Accessories,"SanDisk Keyboard, Programmable",331.92,6,0,112.8,40.692,High
IT-2015-AB10015139-42042,2,07/02/2015,12/02/2015,Second Class,AB-10015139,Consumer,Bognor Regis,England,United Kingdom,Northern Europe,Europe,OFF-ST-4283,Office Supplies,Storage,"Fellowes Shelving, Industrial",174.96,3,0,76.95,35.97,High
ID-2013-AB10015130-41636,12,28/12/2013,02/01/2014,Standard Class,AB-10015130,Consumer,Bangkok,Bangkok,Thailand,Southeastern Asia,Asia Pacific,FUR-FU-5727,Furniture,Furnishings,"Rubbermaid Frame, Black",561.54,7,0.27,0,34.26,Medium
CA-2012-AH10030140-41020,4,21/04/2012,23/04/2012,Second Class,AH-100301406,Corporate,Troy,New York,United States,Eastern US,USCA,OFF-FA-6129,Office Supplies,Fasteners,Staples,247.84,8,0,121.44,55.2,Critical
CA-2013-AH10030140-41635,12,27/12/2013,31/12/2013,Standard Class,AH-100301404,Corporate,San Francisco,California,United States,Western US,USCA,TEC-PH-4389,Technology,Phones,Geemarc AmpliPOWER60,668.16,9,0.2,75.17,45.74,Medium
CA-2013-AH10030140-41635,12,27/12/2013,31/12/2013,Standard Class,AH-100301404,Corporate,San Francisco,California,United States,Western US,USCA,OFF-ST-4291,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,323.1,2,0,61.39,26.7,Medium
CG-2012-AH1003033-41165,9,13/09/2012,14/09/2012,First Class,AH-1003033,Corporate,Kamina,Katanga,Democratic Republic of the Congo,Central Africa,Africa,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",3817.26,6,0,1068.66,678.15,High
CA-2012-AH10030140-41041,5,12/05/2012,18/05/2012,Standard Class,AH-100301404,Corporate,Los Angeles,California,United States,Western US,USCA,FUR-CH-4840,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",279.46,6,0.2,20.96,11.69,Medium
CA-2012-AH10030140-41273,12,30/12/2012,31/12/2012,First Class,AH-100301406,Corporate,New York City,New York,United States,Eastern US,USCA,TEC-AC-6340,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",34.77,3,0,11.47,8.22,High
CA-2014-AH10030140-41719,3,21/03/2014,26/03/2014,Second Class,AH-100301408,Corporate,Gulfport,Mississippi,United States,Southern US,USCA,FUR-FU-4072,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",86.45,7,0,38.04,5.73,Medium
US-2012-AH10030140-41206,10,24/10/2012,27/10/2012,First Class,AH-100301404,Corporate,San Francisco,California,United States,Western US,USCA,OFF-BI-4372,Office Supplies,Binders,GBC VeloBind Cover Sets,49.41,4,0.2,18.53,2.84,High
CA-2012-AH10030140-41273,12,30/12/2012,31/12/2012,First Class,AH-100301406,Corporate,New York City,New York,United States,Eastern US,USCA,OFF-LA-3231,Office Supplies,Labels,Avery 51,18.9,3,0,8.69,1.3,High
CA-2012-AH10030140-41020,4,21/04/2012,23/04/2012,Second Class,AH-100301406,Corporate,Troy,New York,United States,Eastern US,USCA,OFF-BI-2937,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",9.91,3,0.2,3.35,1.2,Critical
CA-2012-AH10030140-41041,5,12/05/2012,18/05/2012,Standard Class,AH-100301404,Corporate,Los Angeles,California,United States,Western US,USCA,OFF-PA-4014,Office Supplies,Paper,EcoTones Memo Sheets,8,2,0,3.84,1.15,Medium
CA-2015-AH10030140-42357,12,19/12/2015,23/12/2015,Standard Class,AH-100301406,Corporate,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-AR-3276,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,18.7,7,0.2,2.34,1.13,Medium
ES-2015-AH100308-42203,7,18/07/2015,18/07/2015,Same Day,AH-100308,Corporate,Vienna,Vienna,Austria,Western Europe,Europe,FUR-BO-3640,Furniture,Bookcases,"Bush Library with Doors, Mobile",1100.52,3,0,352.08,283.25,Critical
MX-2012-AH1003082-41251,12,08/12/2012,09/12/2012,First Class,AH-1003082,Corporate,Saltillo,Coahuila,Mexico,Central America,LATAM,FUR-BO-4861,Furniture,Bookcases,"Ikea Library with Doors, Mobile",780.61,4,0.2,-0.03,226.629,High
UP-2013-AH10030137-41325,2,20/02/2013,22/02/2013,First Class,AH-10030137,Corporate,Kryvyy Rih,Dnipropetrovs'k,Ukraine,Eastern Europe,Europe,FUR-CH-4682,Furniture,Chairs,"Hon Rocking Chair, Black",1025.52,8,0,389.52,172.16,Critical
ES-2015-AH1003014-42341,12,03/12/2015,07/12/2015,Standard Class,AH-1003014,Corporate,Ghent,East Flanders,Belgium,Western Europe,Europe,TEC-CO-4568,Technology,Copiers,"Hewlett Copy Machine, Color",1590.66,6,0,540.72,122.96,Medium
IN-2014-AH1003066-41706,3,08/03/2014,15/03/2014,Standard Class,AH-1003066,Corporate,Yokkaichi,Mie,Japan,Eastern Asia,Asia Pacific,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",1931.94,3,0,734.13,71.46,Medium
MX-2012-AH1003051-41205,10,23/10/2012,29/10/2012,Standard Class,AH-1003051,Corporate,Villa Canales,Guatemala,Guatemala,Central America,LATAM,TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP",2120.8,5,0,275.7,68.303,Medium
IN-2014-AH1003058-41723,3,25/03/2014,29/03/2014,Second Class,AH-1003058,Corporate,Warangal,Telangana,India,Southern Asia,Asia Pacific,FUR-CH-4563,Furniture,Chairs,"Harbour Creations Swivel Stool, Red",360.24,2,0,10.8,38.14,Medium
NI-2014-AH1003095-41664,1,25/01/2014,30/01/2014,Standard Class,AH-1003095,Corporate,Port Harcourt,Rivers,Nigeria,Western Africa,Africa,FUR-BO-4848,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",493.45,4,0.7,-838.91,37.52,Medium
IN-2012-AH1003059-41254,12,11/12/2012,16/12/2012,Standard Class,AH-1003059,Corporate,Jakarta,Jakarta,Indonesia,Southeastern Asia,Asia Pacific,FUR-CH-5795,Furniture,Chairs,"SAFCO Rocking Chair, Red",492.42,5,0.27,13.47,34.07,Medium
CA-2015-AS10045140-42007,1,03/01/2015,05/01/2015,First Class,AS-100451408,Corporate,Jacksonville,North Carolina,United States,Southern US,USCA,TEC-MA-3788,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695.7,2,0.5,-27.83,160.19,High
CA-2015-AS10045140-42218,8,02/08/2015,08/08/2015,Standard Class,AS-100451402,Corporate,Austin,Texas,United States,Central US,USCA,TEC-MA-3329,Technology,Machines,Bady BDG101FRU Card Printer,1439.98,3,0.4,-264,103.62,Medium
CA-2014-AS10045140-41908,9,26/09/2014,28/09/2014,First Class,AS-100451404,Corporate,San Francisco,California,United States,Western US,USCA,FUR-BO-3176,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",477.67,2,0.15,84.29,43.01,Critical
US-2015-AS10045140-42252,9,05/09/2015,06/09/2015,First Class,AS-100451404,Corporate,Redmond,Oregon,United States,Western US,USCA,OFF-BI-3324,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",88.07,7,0.7,-58.72,23.88,High
CA-2015-AS10045140-42281,10,04/10/2015,09/10/2015,Standard Class,AS-100451404,Corporate,Pasadena,California,United States,Western US,USCA,FUR-TA-5066,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.29,3,0.2,-6.42,12.65,Medium
CA-2015-AS10045140-42007,1,03/01/2015,05/01/2015,First Class,AS-100451408,Corporate,Jacksonville,North Carolina,United States,Southern US,USCA,OFF-BI-3308,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,28.85,6,0.7,-21.16,5.35,High
US-2012-AS10045140-41116,7,26/07/2012,01/08/2012,Standard Class,AS-100451406,Corporate,New York City,New York,United States,Eastern US,USCA,OFF-PA-6512,Office Supplies,Paper,Xerox 1956,65.78,11,0,32.23,4.36,Medium
CA-2014-AS10045140-41727,3,29/03/2014,01/04/2014,First Class,AS-100451408,Corporate,Arlington,Virginia,United States,Southern US,USCA,OFF-ST-4516,Office Supplies,Storage,Hanging Personal Folder File,31.4,2,0,7.85,3.81,Medium
CA-2015-AS10045140-42218,8,02/08/2015,08/08/2015,Standard Class,AS-100451402,Corporate,Austin,Texas,United States,Central US,USCA,OFF-PA-6557,Office Supplies,Paper,Xerox 1998,36.29,7,0.2,12.7,1.99,Medium
CA-2015-AS10045140-42007,1,03/01/2015,05/01/2015,First Class,AS-100451408,Corporate,Jacksonville,North Carolina,United States,Southern US,USCA,OFF-BI-3185,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",15.66,5,0.7,-12.53,1.56,High
ES-2015-AS1004545-42346,12,08/12/2015,14/12/2015,Standard Class,AS-1004545,Corporate,Le Cannet,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe,TEC-AC-3402,Technology,Accessories,"Belkin Router, Bluetooth",2070,8,0,82.8,126.1,Medium
IT-2012-AS1004564-40999,3,31/03/2012,03/04/2012,First Class,AS-1004564,Corporate,Rome,Lazio,Italy,Southern Europe,Europe,TEC-PH-3144,Technology,Phones,"Apple Signal Booster, Full Size",496.58,6,0.4,-289.84,122.65,High
ES-2015-AS1004545-42346,12,08/12/2015,14/12/2015,Standard Class,AS-1004545,Corporate,Le Cannet,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe,OFF-AP-4742,Office Supplies,Appliances,"Hoover Stove, Black",1022.22,2,0.1,-22.74,88.93,Medium
ES-2014-AS1004545-41731,4,02/04/2014,05/04/2014,First Class,AS-1004545,Corporate,Nancy,Alsace-Champagne-Ardenne-Lorraine,France,Western Europe,Europe,OFF-ST-6060,Office Supplies,Storage,"Smead Shelving, Wire Frame",302.4,7,0.1,120.96,82.36,Medium
ES-2015-AS10045139-42042,2,07/02/2015,11/02/2015,Standard Class,AS-10045139,Corporate,Leeds,England,United Kingdom,Northern Europe,Europe,TEC-AC-5887,Technology,Accessories,"SanDisk Numeric Keypad, Bluetooth",388.92,7,0,0,78.74,High
ID-2013-AS1004559-41520,9,03/09/2013,08/09/2013,Standard Class,AS-1004559,Corporate,Probolinggo,Jawa Timur,Indonesia,Southeastern Asia,Asia Pacific,FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",670.14,2,0.27,-128.52,70.45,Medium
ES-2015-AS10045139-42042,2,07/02/2015,11/02/2015,Standard Class,AS-10045139,Corporate,Leeds,England,United Kingdom,Northern Europe,Europe,TEC-AC-5206,Technology,Accessories,"Memorex Memory Card, USB",307.44,3,0,73.71,48.9,High
IN-2012-AS100457-41065,6,05/06/2012,09/06/2012,Standard Class,AS-100457,Corporate,Coffs Harbour,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-4703,Furniture,Chairs,"Hon Swivel Stool, Red",883.71,6,0.1,353.43,40.99,Medium
ES-2015-AS10045139-42042,2,07/02/2015,11/02/2015,Standard Class,AS-10045139,Corporate,Leeds,England,United Kingdom,Northern Europe,Europe,TEC-PH-3144,Technology,Phones,"Apple Signal Booster, Full Size",413.82,3,0,20.61,39.87,High
IN-2012-AS10045113-41224,11,11/11/2012,13/11/2012,Second Class,AS-10045113,Corporate,Singapore,Singapore,Singapore,Southeastern Asia,Asia Pacific,OFF-PA-4474,Office Supplies,Paper,"Green Bar Message Books, 8.5 x 11",251.37,9,0,27.54,38.36,Critical
MX-2014-AB1006028-41755,4,26/04/2014,28/04/2014,First Class,AB-1006028,Home Office,Medellín,Antioquia,Colombia,South America,LATAM,FUR-BO-3891,Furniture,Bookcases,"Dania Classic Bookcase, Pine",2472.66,9,0,914.76,523.466,High
CA-2015-AB10060140-42315,11,07/11/2015,14/11/2015,Standard Class,AB-100601404,Home Office,Seattle,Washington,United States,Western US,USCA,FUR-TA-4622,Furniture,Tables,Hon 5100 Series Wood Tables,2036.86,7,0,366.63,524.76,Low
CA-2014-AB10060140-41884,9,02/09/2014,04/09/2014,First Class,AB-100601406,Home Office,New York City,New York,United States,Eastern US,USCA,OFF-BI-4340,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.17,4,0.2,1415.43,82.67,Critical
CA-2015-AB10060140-42315,11,07/11/2015,14/11/2015,Standard Class,AB-100601404,Home Office,Seattle,Washington,United States,Western US,USCA,FUR-CH-4613,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,449.57,2,0.2,-73.05,47.81,Low
US-2014-AB10060140-41712,3,14/03/2014,19/03/2014,Standard Class,AB-100601408,Home Office,Waynesboro,Virginia,United States,Southern US,USCA,OFF-AP-4221,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,2,0,44.89,13.75,Medium
CA-2015-AB10060140-42315,11,07/11/2015,14/11/2015,Standard Class,AB-100601404,Home Office,Seattle,Washington,United States,Western US,USCA,TEC-AC-5858,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,108.96,3,0,32.69,11.57,Low
CA-2015-AB10060140-42314,11,06/11/2015,08/11/2015,First Class,AB-100601402,Home Office,Greenwood,Indiana,United States,Central US,USCA,OFF-PA-6214,Office Supplies,Paper,Strathmore Photo Mount Cards,67.8,10,0,31.19,7.97,High
CA-2015-AB10060140-42314,11,06/11/2015,08/11/2015,First Class,AB-100601402,Home Office,Greenwood,Indiana,United States,Central US,USCA,OFF-FA-6129,Office Supplies,Fasteners,Staples,167.94,3,0,82.29,6.61,High
CA-2014-AB10060140-41884,9,02/09/2014,04/09/2014,First Class,AB-100601406,Home Office,New York City,New York,United States,Eastern US,USCA,OFF-PA-6430,Office Supplies,Paper,Xerox 1881,24.56,2,0,11.54,6.53,Critical
CA-2014-AB10060140-41884,9,02/09/2014,04/09/2014,First Class,AB-100601406,Home Office,New York City,New York,United States,Eastern US,USCA,OFF-PA-6430,Office Supplies,Paper,Xerox 1881,49.12,4,0,23.09,6.22,Critical
CA-2015-AB10060140-42132,5,08/05/2015,13/05/2015,Standard Class,AB-100601404,Home Office,Los Angeles,California,United States,Western US,USCA,TEC-AC-5109,Technology,Accessories,Logitech G600 MMO Gaming Mouse,79.99,1,0,28.8,5.44,Medium
US-2014-AB10060140-41712,3,14/03/2014,19/03/2014,Standard Class,AB-100601408,Home Office,Waynesboro,Virginia,United States,Southern US,USCA,FUR-FU-4762,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,0,40.92,3.15,Medium
US-2014-AB10060140-41712,3,14/03/2014,19/03/2014,Standard Class,AB-100601408,Home Office,Waynesboro,Virginia,United States,Southern US,USCA,OFF-BI-4819,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,0,20.7,2.72,Medium
CA-2014-AB10060140-41881,8,30/08/2014,04/09/2014,Standard Class,AB-100601406,Home Office,Concord,New Hampshire,United States,Eastern US,USCA,OFF-SU-2972,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,27.93,3,0,8.1,2.16,Medium
CA-2013-AB10060140-41535,9,18/09/2013,24/09/2013,Standard Class,AB-100601404,Home Office,Des Moines,Washington,United States,Western US,USCA,OFF-PA-6420,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",18.54,2,0,8.71,1.69,Medium
CA-2014-AB10060140-41884,9,02/09/2014,04/09/2014,First Class,AB-100601406,Home Office,New York City,New York,United States,Eastern US,USCA,OFF-BI-2911,Office Supplies,Binders,Acco Hanging Data Binders,3.05,1,0.2,1.07,1.67,Critical
CA-2014-AB10060140-41884,9,02/09/2014,04/09/2014,First Class,AB-100601406,Home Office,New York City,New York,United States,Eastern US,USCA,TEC-AC-5744,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6.79,1,0,2.31,1.31,Critical
CA-2015-AB10060140-42264,9,17/09/2015,22/09/2015,Standard Class,AB-100601406,Home Office,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-PA-6596,Office Supplies,Paper,Xerox 231,20.74,4,0.2,7.26,1.23,High
CA-2015-AB10060140-42314,11,06/11/2015,08/11/2015,First Class,AB-100601402,Home Office,Greenwood,Indiana,United States,Central US,USCA,OFF-PA-3114,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41,1,0,2.03,1.21,High
SF-2015-AB10060117-42334,11,26/11/2015,29/11/2015,Second Class,AB-10060117,Home Office,Cape Town,Western Cape,South Africa,Southern Africa,Africa,OFF-AP-4732,Office Supplies,Appliances,"Hoover Microwave, Silver",1237.56,4,0,606.36,400.03,Critical
IN-2012-AB1006059-41060,5,31/05/2012,02/06/2012,First Class,AB-1006059,Home Office,Denpasar,Bali,Indonesia,Southeastern Asia,Asia Pacific,FUR-CH-4562,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",1037.71,8,0.27,298.51,202.94,Medium
ES-2013-AB10060139-41627,12,19/12/2013,25/12/2013,Standard Class,AB-10060139,Home Office,London,England,United Kingdom,Northern Europe,Europe,FUR-BO-5949,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",1578.64,4,0.1,613.84,161.06,Medium
MX-2015-AB1006028-42111,4,17/04/2015,19/04/2015,First Class,AB-1006028,Home Office,Ciénaga,Magdalena,Colombia,South America,LATAM,TEC-AC-5864,Technology,Accessories,"SanDisk Keyboard, Bluetooth",217.28,4,0,47.76,75.377,Critical
ES-2014-AB10060139-41650,1,11/01/2014,16/01/2014,Second Class,AB-10060139,Home Office,Glasgow,Scotland,United Kingdom,Northern Europe,Europe,TEC-MA-5571,Technology,Machines,"Panasonic Printer, Durable",799.83,3,0,167.94,70.31,Medium
MX-2014-AB1006028-41755,4,26/04/2014,28/04/2014,First Class,AB-1006028,Home Office,Medellín,Antioquia,Colombia,South America,LATAM,TEC-AC-3388,Technology,Accessories,"Belkin Memory Card, Bluetooth",306.16,4,0,58.16,55.48,High
ES-2015-AB1006096-42143,5,19/05/2015,22/05/2015,Second Class,AB-1006096,Home Office,Oslo,Oslo,Norway,Northern Europe,Europe,OFF-BI-6382,Office Supplies,Binders,"Wilson Jones Binding Machine, Clear",435.78,9,0,130.68,50.58,Medium
US-2015-AB1006098-42327,11,19/11/2015,19/11/2015,Same Day,AB-1006098,Home Office,David,Chiriquí,Panama,Central America,LATAM,FUR-CH-5378,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",364.42,2,0.4,-109.34,49.452,High
MX-2015-AB1006082-42167,6,12/06/2015,17/06/2015,Second Class,AB-1006082,Home Office,Mexico City,Distrito Federal,Mexico,Central America,LATAM,OFF-AR-3475,Office Supplies,Art,"Binney & Smith Canvas, Blue",479.36,14,0,119.84,46.729,Medium
CA-2015-AH10075140-42301,10,24/10/2015,25/10/2015,First Class,AH-100751406,Corporate,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-TA-5421,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.9,3,0.3,-127.58,188.95,Critical
CA-2015-AH10075140-42301,10,24/10/2015,25/10/2015,First Class,AH-100751406,Corporate,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-FU-3936,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0,50.56,79.52,Critical
CA-2015-AH10075140-42301,10,24/10/2015,25/10/2015,First Class,AH-100751406,Corporate,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-TA-4943,Furniture,Tables,KI Adjustable-Height Table,240.74,4,0.3,-13.76,68.01,Critical
CA-2014-AH10075140-41898,9,16/09/2014,21/09/2014,Standard Class,AH-100751406,Corporate,New York City,New York,United States,Eastern US,USCA,OFF-BI-4338,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,841.57,2,0.2,294.55,57.49,Medium
